time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,episode,total_reward
1.2000000000000006,0.191419027677,0.420537354075,0.0,1.67188580786,5.61439977193,0.0,0.690517958429,1.26506671008,-8.86526296073,2.4302893049,-1.12029132575,0.0,238.150628715,228.899345561,214.667920207,234.878916354,1,-1.47585566785
1.2000000000000006,0.189019567306,0.426724733616,0.0,1.68079673744,5.62536276374,0.0,0.684633682962,1.28463207314,-8.85821834658,2.44360494458,-1.08312740088,0.0,238.187788513,229.904307538,215.130968528,235.431794925,2,-1.5229800387
1.2000000000000006,0.184516218587,0.431160754486,0.0,1.69305167459,5.65149313389,0.0,0.662575264098,1.29857607419,-8.86437616285,2.45928045404,-1.03268189133,0.0,237.126628114,229.286843083,214.638685121,235.033617619,3,-1.5326470889
1.2000000000000006,0.215435538184,0.414712064436,0.0,1.84706636825,5.3665743532,0.0,0.803169118473,1.20630826905,-8.98654826155,2.90492800108,-1.81306913605,0.0,232.063518736,209.095830382,206.617372991,241.052198493,4,-1.4179785684
1.2000000000000006,0.364868218907,0.53136435243,0.0,2.52874181098,4.95316508114,0.0,1.12810465285,1.33848797958,-9.63887059566,3.60722495274,-1.8832107111,0.0,211.690289593,200.98145269,203.652494015,243.510510826,5,-1.66945987737
1.2000000000000006,0.099305154102,0.584599827463,0.0,2.53931421889,5.99975409514,0.0,0.234213175562,1.39826275097,-9.67737667527,3.38970702393,-0.320908527315,0.0,200.329481267,199.939926082,200.635267819,231.560444773,6,-0.312329430137
1.1400000000000006,0.00737611197727,0.142676247583,0.0,0.865721962022,6.25098092033,0.0,0.0170745017282,0.242441116706,-9.24534901809,0.969130461784,-0.0442680155491,0.0,200.741852101,200.058907203,199.419319935,201.357744503,7,-0.344361088447
1.1400000000000006,0.00291178130564,0.000508030722146,0.0,6.27548632215,6.26523188313,0.0,0.000605226657103,0.00222957706292,-10.0063607364,-0.00818374244318,-0.0155389100241,0.0,200.590400674,200.886889241,200.129811201,200.041988567,8,10.9595592714
1.1400000000000006,-0.000618846109552,-0.00120109188856,0.0,6.28028926975,0.0189287680735,0.0,0.00268359835847,-0.00115263472514,-10.0146671369,-0.000160432932111,0.0258590118421,0.0,200.145902277,199.837030333,199.712423646,199.416763391,9,10.9895470894
1.1400000000000006,0.00258659034781,0.000960511490123,0.0,0.00801708952771,6.26064066752,0.0,-0.000564934113728,-0.000246524782222,-10.0021415369,-0.000150798542743,-0.0364105217081,0.0,201.091338005,200.448373276,200.331605601,199.437476949,10,10.9568041111
1.1400000000000006,0.000873107466214,-0.00100824153491,0.0,6.28067297774,6.26136675409,0.0,-0.00291129235639,-0.00089447386871,-10.0103766321,0.00994103074287,-0.0348660625732,0.0,199.657605739,199.824396888,199.779901097,200.349100723,11,10.9832912459
1.1400000000000006,0.000937838134835,-0.000131113854148,0.0,0.00194260968691,6.24947858586,0.0,-0.00521232843056,-0.00060701585921,-10.0124155233,-0.00412764322819,-0.0640841621197,0.0,199.983051886,199.712045615,199.891514287,199.794774451,12,10.9891539761
1.1400000000000006,0.00224667823472,0.00156451192987,0.0,0.00349956794418,6.25216490627,0.0,-0.0025833188181,0.00154567248404,-10.0021986762,-0.0051340069997,-0.0563248374667,0.0,201.394175253,200.6412329,200.135693946,199.975758011,13,10.9585167941
1.1400000000000006,0.044713746552,0.00358723259743,0.0,0.0273808066271,5.21950258735,0.0,0.140208427297,0.0121216677163,-9.21127185198,0.0736159616788,-3.04943035052,0.0,250.178641992,200.284533453,200.005717675,202.531577314,14,5.4112276775
1.2000000000000006,0.541285523397,0.0122275101762,0.0,0.0663101195293,3.46592357573,0.0,1.26581590651,0.0255341761947,-9.71185926124,0.156072057985,-4.14876150992,0.0,250.143934557,200.450671312,199.887492509,205.352023436,15,0.310719003647
1.2000000000000006,0.541263054347,0.0125312918586,0.0,0.0883225096324,3.47546883385,0.0,1.27078114843,0.0271120688567,-9.7133681326,0.256214106149,-4.14200795854,0.0,249.931341581,199.75945665,199.528429529,208.742958107,16,0.312019745777
1.2000000000000006,0.558622331601,0.0208901047902,0.0,0.38931261634,3.48280224773,0.0,1.33829624768,0.0278777420998,-9.74529790141,1.13539154021,-4.13216070459,0.0,249.938170864,200.298968094,200.3762864,227.790878596,17,0.175442329635
1.2000000000000006,0.682606514368,0.303124697557,0.0,2.53242999758,3.50105635886,0.0,1.7770296694,0.375074698119,-9.3786490513,3.23350959211,-4.11305591228,0.0,250.107455282,200.275649843,199.785139744,207.158530142,18,-2.44712589635
1.2000000000000006,0.64523632161,0.339619124689,0.0,2.04190573695,3.47558733313,0.0,1.69421936611,0.196705997908,-9.36555362817,2.50666669396,-4.13903910846,0.0,249.947098686,199.848322332,199.505206118,226.666831343,19,-2.67585598913
1.2000000000000006,0.715459423365,0.536300896155,0.0,3.10895406686,3.47864601389,0.0,1.83932182648,0.819605544537,-9.68858154781,4.14723102506,-4.14025166583,0.0,249.755172262,199.972602429,199.662687837,249.878198555,20,-3.86603865205
1.2000000000000006,0.716761430761,0.547289456294,0.0,3.13570850199,3.47773786766,0.0,1.84317615558,0.841416194602,-9.70885746609,4.16482330223,-4.16368905905,0.0,250.568778611,199.915394314,199.690745813,250.118006334,21,-3.89374837517
1.2000000000000006,0.716014302298,0.542264976576,0.0,3.10723937518,3.4802564712,0.0,1.84187364152,0.829674435107,-9.69164412874,4.13358699727,-4.14652839507,0.0,250.467177403,200.055432603,199.839788783,250.034909698,22,-3.89502702643
